ProductID,Nazwa handlowa,Nazwa prawna,Kategoria,Masa netto [g],Rodzaj,COID,DATA WAŻNOŚCI CERTYFIKATU,SZTUKA,KARTON,CN,PKWiU,WYSOKOŚĆ [cm],SZEROKOŚĆ [cm],GŁĘBOKOŚĆ [cm],WYSOKOŚĆ [cm].1,SZEROKOŚĆ [cm].1,GŁĘBOKOŚĆ [cm].1,WYSOKOŚĆ [cm].2,SZEROKOŚĆ [cm].2,GŁĘBOKOŚĆ [cm].2,RODZAJ PALETY,WAGA NETTO SZTUKI [kg],WAGA BRUTTO SZTUKI [kg],WAGA NETTO OPAKOWANIA ZBIORCZEGO [kg],WAGA BRUTTO OPAKOWANIA ZBIORCZEGO [kg],WAGA NETTO PALETY [kg],WAGA BRUTTO PALETY [kg],ILOŚĆ SZTUK PRODUKTU W OPAKOWANIU ZBIORCZYM [szt],ILOŚĆ KARTONÓW NA WARSTWIE [szt],ILOŚĆ WARSTW NA PALECIE [szt],ILOŚĆ KARTONÓW NA PALECIE [szt],ILOŚĆ SZTUK PRODUKTU NA PALECIE [szt],ILOŚĆ SZTUK NA WARSTWIE PALETY [szt],WYSOKOŚĆ PALETY Z NOŚNIKIEM [cm],SMAK,ZAPACH,KOLOR,WYGLĄD ZEWNĘTRZNY,WYGLĄD NA PRZEKROJU,WARUNKI PRZECHOWYWANIA I TRANSPORTU,TERMIN PRZYDATNOŚCI DO SPOŻYCIA,WYRAŻENIE I FORMAT,INFORMACJE DODATKOWE,Polska etykieta,Angielska etykieta,Link do etykiety (plik zebry)
130031,"I Love You - Lizak z masy o smaku czekolady mlecznej, dekorowany, 25 g",SERCE I LOVE YOU 20 g - Lizak z masy o smaku czekolady mlecznej 94 % dekorowany masą o smaku białej czekolady 6%.,WALENTYNKI,25,IFS Food 8.0,66417,2026-09-01 00:00:00,5902808130031,5902808130048,1806 90 70,10.82.23.0,14.5,5.8,0.5,14.5,5.8,0.5,16,20,15,LPR/EUR 800 x 1200 mm,0.025,0.027,0.525,0.567,168,205.44,21,32,10,320,6720,672,175,"Mleczno-kakaowy dla masy, słodki, charakterystyczny dla użytych surowców, bez obcych posmaków.","Mleczno-kakaowy dla mast, słodki, charakterystyczny dla użytych surowców, bez obcych zapachów.",Jasnobrązowy/brązowy/ciemnobrązowy/biały,Lizak w kształce serca. Dopuszczalne niewielkie pęcherzyki powietrza oraz szary nalot (wykwit tłuszczowy).,"Jednolity, dopuszczalne niewielkie pęcherzyki powietrza.",Przechowywać w suchym i chłodnym miejscu. Nie wystawiać na działanie ciepła i promieni słonecznych.,12 miesięcy od daty produkcji polew,Najlepiej spożyć przed końcem: MM.RRRR,Produkt nie zawiera GMO; nie podlega radiacji; nie zawiera nanomateriałów; jest kontrolowany w zakresie detekcji metali.,"Składniki: cukier, masło kakaowe, mleko w proszku pełne, masa kakaowa, emulgator: E322 (ze słonecznika); naturalny aromat waniliowy. Zawartość masy kakaowej minimum 32 %. Może zawierać: orzeszki arachidowe, orzechy, soję, zboża zawierające gluten. 
Wartość odżywcza w 100 g produktu:
Wartość energetyczna: 2308 kJ  / 553 kcal 
Tłuszcz: 34 g 
w tym kwasy tłuszczowe nasycone: 22 g 
Węglowodany: 55 g 
w tym cukry: 55 g 
Białko: 6,2 g 
Sól: 0,33 g 
Wartość odżywcza w porcji 15 g produktu: 
 
Wartość energetyczna: 346 kJ  / 83 kcal 
Tłuszcz: 5,1 g 
w tym kwasy tłuszczowe nasycone: 3,3 g 
Węglowodany: 8,3 g 
w tym cukry: 8,3 g 
Białko: 0,93 g 
Sól: 0,05 g 
Opakowanie zawiera 6 sugerowanych porcji produktu. 
Najlepiej spożyć przed końcem: MM.RRRR 
Numer partii: 
Przechowywać w suchym i chłodnym miejscu. Nie wystawiać na działanie ciepła i promieni słonecznych. 
Masa netto:
Producent: Adikam Sp. z o.o. 
Ul. Szlachecka 42 
32-050 Borek Szlachecki  ","Ingredients: sugar, cocoa butter, whole milk powder, cocoa mass, emulsifier: E322 (from sunflower seeds); natural vanilla flavour. Cocoa solids content minimum 32%. May contain: peanuts, nuts, soy, cereals containing gluten. 
Nutritional value per 100g of product: 
Energy: 2308 kJ / 553 kcal 
Fat: 34 g 
of which saturated: 22 g 
Carbohydrates: 55 g 
of which sugars: 55 g 
Protein: 6.2 g 
Salt: 0.33 g 
Nutritional value per 15g serving: 
Energy: 346 kJ / 83 kcal 
Fat: 5.1 g 
of which saturated: 3.3 g 
Carbohydrates: 8.3 g 
of which sugars: 8.3 g 
Protein: 0.93 g 
Salt: 0.05 g
The package contains 6 suggested servings of the product. 
Best before end: 
Lot code: 
Store in a cool, dry place. Avoid exposure to heat and sunlight. 
Net weight: 
Producer: Adikam Sp. z o.o. 
St. Szlachecka 42 
32-050 Borek Szlachecki ",..\etykiety\Etykieta psi partol sztuka.nlbl
130055,"Białe Serce - Lizak z masy o smaku czekolady mlecznej, dekorowany, 20 g",BIAŁE SERCE 20 g - Lizak z masy o smaku czekolady mlecznej 95 % dekorowany masą o smaku białej czekolady 5%.,WALENTYNKI,20,IFS Food 8.0,66417,2026-09-01 00:00:00,5902808130055,5902808130062,1806 90 70,10.82.23.0,14.5,5.8,0.5,14.5,5.8,0.5,16,20,15,LPR/EUR 800 x 1200 mm,0.025,0.027,0.525,0.567,168,205.44,21,32,10,320,6720,672,175,"Mleczno-kakaowy dla masy, słodki, charakterystyczny dla użytych surowców, bez obcych posmaków.","Mleczno-kakaowy dla mast, słodki, charakterystyczny dla użytych surowców, bez obcych zapachów.",Jasnobrązowy/brązowy/ciemnobrązowy/biały,Lizak w kształce serca. Dopuszczalne niewielkie pęcherzyki powietrza oraz szary nalot (wykwit tłuszczowy).,"Jednolity, dopuszczalne niewielkie pęcherzyki powietrza.",Przechowywać w suchym i chłodnym miejscu. Nie wystawiać na działanie ciepła i promieni słonecznych.,12 miesięcy od daty produkcji polew,Najlepiej spożyć przed końcem: MM.RRRR,Produkt nie zawiera GMO; nie podlega radiacji; nie zawiera nanomateriałów; jest kontrolowany w zakresie detekcji metali.,,,
130079,"Czerwone Serce - Lizak z masy o smaku czekolady mlecznej, dekorowany, 20 g",CZERWONE SERCE 20 g - Lizak z masy o smaku czekolady mecznej 95 % dekorowany masą o smaku białej czekolady 5%,WALENTYNKI,20,IFS Food 8.0,66417,2026-09-01 00:00:00,5902808130079,5902808130086,1806 90 70,10.82.23.0,14.5,5.8,0.5,14.5,5.8,0.5,16,20,15,LPR/EUR 800 x 1200 mm,0.025,0.027,0.525,0.567,168,205.44,21,32,10,320,6720,672,175,"Mleczno-kakaowy dla masy, słodki, charakterystyczny dla użytych surowców, bez obcych posmaków.","Mleczno-kakaowy dla mast, słodki, charakterystyczny dla użytych surowców, bez obcych zapachów.",Jasnobrązowy/brązowy/ciemnobrązowy/czerwony,Lizak w kształce serca. Dopuszczalne niewielkie pęcherzyki powietrza oraz szary nalot (wykwit tłuszczowy).,"Jednolity, dopuszczalne niewielkie pęcherzyki powietrza.",Przechowywać w suchym i chłodnym miejscu. Nie wystawiać na działanie ciepła i promieni słonecznych.,12 miesięcy od daty produkcji polew,Najlepiej spożyć przed końcem: MM.RRRR,Produkt nie zawiera GMO; nie podlega radiacji; nie zawiera nanomateriałów; jest kontrolowany w zakresie detekcji metali.,,,
131274,"Serce Walentynkowe - Figurka z masy o smaku czekolady mlecznej z dodatkiem owoców liofilizowanych czerwonej porzeczki, 40 g","Serce 40g - Figurka z masy o smaku czekolady mlecznej 97,5% z owocami liofilizowanymi czerwonej porzeczki 2,5%",WALENTYNKI,40,IFS Food 8.0,66417,2026-09-01 00:00:00,5902808131274,5902808131281,1806 90 70,10.82.23.0,14.5,5.8,0.5,14.5,5.8,0.5,16,20,15,LPR/EUR 800 x 1200 mm,0.025,0.027,0.525,0.567,168,205.44,21,32,10,320,6720,672,175,"Mleczno-kakaowy dla masy, słodki, charakterystyczny dla użytych surowców, bez obcych posmaków.","Mleczno-kakaowy dla mast, słodki, charakterystyczny dla użytych surowców, bez obcych zapachów.",Jasnobrązowy/brązowy/ciemnobrązowy/czerwony/różowny,Lizak w kształce serca posypany owocami liofilizowanymi. Dopuszczalne niewielkie pęcherzyki powietrza oraz szary nalot (wykwit tłuszczowy).,"Jednolity, dopuszczalne niewielkie pęcherzyki powietrza.",Przechowywać w suchym i chłodnym miejscu. Nie wystawiać na działanie ciepła i promieni słonecznych.,12 miesięcy od daty produkcji owoców liofilizowanych,Najlepiej spożyć przed końcem: MM.RRRR,Produkt nie zawiera GMO; nie podlega radiacji; nie zawiera nanomateriałów; jest kontrolowany w zakresie detekcji metali.,,,
102932,"Serce - Lizak z masy o smaku czekolady mlecznej, 20 g",SERCE 20 g - Lizak z masy o smaku czekolady mecznej 100%,WALENTYNKI,20,IFS Food 8.0,66417,2026-09-01 00:00:00,5907244102932,5907244102949,1806 90 70,10.82.23.0,14.5,5.8,0.5,14.5,5.8,0.5,16,20,15,LPR/EUR 800 x 1200 mm,0.025,0.027,0.525,0.567,168,205.44,21,32,10,320,6720,672,175,"Mleczno-kakaowy dla masy, słodki, charakterystyczny dla użytych surowców, bez obcych posmaków.","Mleczno-kakaowy dla mast, słodki, charakterystyczny dla użytych surowców, bez obcych zapachów.",Jasnobrązowy/brązowy/ciemnobrązowy,Lizak w kształce serca. Dopuszczalne niewielkie pęcherzyki powietrza oraz szary nalot (wykwit tłuszczowy).,"Jednolity, dopuszczalne niewielkie pęcherzyki powietrza.",Przechowywać w suchym i chłodnym miejscu. Nie wystawiać na działanie ciepła i promieni słonecznych.,12 miesięcy od daty produkcji polew,Najlepiej spożyć przed końcem: MM.RRRR,Produkt nie zawiera GMO; nie podlega radiacji; nie zawiera nanomateriałów; jest kontrolowany w zakresie detekcji metali.,"Serce – Lizak z masy o smaku czekolady mlecznej 
Składniki: cukier, całkowicie utwardzony tłuszcz roślinny (palmowy), serwatka w proszku (z mleka), kakao w proszku o obniżonej zawartości tłuszczu, mleko pełne w proszku, emulgatory: E322 (ze słonecznika), E492; aromat. 
Może zawierać: orzeszki arachidowe, orzechy, soję, zboża zawierające gluten. 
Wartość odżywcza w 100 g produktu: Wartość energetyczna: 2397 kJ / 594 kcal; Tłuszcz: 40 g, w tym kwasy tłuszczowe nasycone: 37 g; Węglowodany: 54 g, w tym cukry: 53 g; Białko: 3,5 g; Sól: 0,53 g. 

Numer partii: 
Najlepiej spożyć przed końcem: MM.RRRR 

Przechowywać w suchym i chłodnym miejscu. Nie wystawiać na działanie ciepła i promieni słonecznych. 

Masa netto: 20 g 

Producent: Adikam Sp. z o.o. 
ul. Szlachecka 42; 
32-050 Borek Szlachecki, Polska.  
","Heart – Lolly made from compound chocolate a milk chocolate flovor 
Ingredients: sugar, fully hydrogenated vegetable fat (palm), whey powder (from milk), fat-reduced cocoa powder, whole milk powder, emulsifiers: E322 (from sunflower), E492; flavouring. 
May contain: peanuts, nuts, soy, cereals containing gluten. 
Nutritional value in 100 g of product: Energy value: 2397 kJ / 594 kcal; Fat: 40 g, of which saturated fatty acids: 37 g; Carbohydrates: 54 g, of which sugars: 53 g; Protein: 3,5 g; Salt: 0,53 g. 
Batch number:  
Best before end: MM/YYYY 

Store in a cool, dry place. Do not expose to heat or sunlight. 

Net weight:  20 g 

Manufacturer: Adikam Sp. z o.o. ul. Szlachecka 42; 32-050 Borek Szlachecki, Poland. 

 
",
103595,"Zając Wielkanocny - Figurka z masy o smaku czekolady mlecznej, 90 g","Zając Wielkanocny - Figurka z masy o smaku czekolady mleczej 89,1% dekorowana masą o smaku białej czekolady 9,8% i masą o smaku czekolady deserowej 1,1% ",WIELKANOC,90,IFS Food 8.0,66417,2026-09-01 00:00:00,5907244103595,5907244103601,1806 90 70,10.82.23.0,14.5,5.8,0.5,14.5,5.8,0.5,16,20,15,LPR/EUR 800 x 1200 mm,0.025,0.027,0.525,0.567,168,205.44,21,32,10,320,6720,672,175,"Mleczno-kakaowy dla masy, słodki, charakterystyczny dla użytych surowców, bez obcych posmaków.","Mleczno-kakaowy dla mast, słodki, charakterystyczny dla użytych surowców, bez obcych zapachów.",Jasnobrązowy/brązowy/ciemnobrązowy/biały,Figurka w kształcie zajaca. Dopuszczalne niewielkie pęcherzyki powietrza oraz szary nalot (wykwit tłuszczowy).,"Jednolity, dopuszczalne niewielkie pęcherzyki powietrza.",Przechowywać w suchym i chłodnym miejscu. Nie wystawiać na działanie ciepła i promieni słonecznych.,12 miesięcy od daty produkcji polew,Najlepiej spożyć przed końcem: MM.RRRR,Produkt nie zawiera GMO; nie podlega radiacji; nie zawiera nanomateriałów; jest kontrolowany w zakresie detekcji metali.,"Zając Wielkanocny - Figurka z masy o smaku czekolady mlecznej 89,1% dekorowana masą o smaku białej czekolady 9,8 % i masą o smaku czekolady deserowej 1,1% 
Składniki: cukier, całkowicie utwardzony tłuszcz roślinny (palmowy), serwatka w proszku (z mleka), kakao w proszku o obniżonej zawartości tłuszczu, mleko w proszku pełne, emulgatory: E 322 (ze słonecznika), E 492, E 472c; aromat 
Może zawierać: orzeszki arachidowe, orzechy, soję, zboża zawierające gluten. 
Wartość odżywcza w 100 g produktu: Wartość energetyczna: 2392 kJ / 593 kcal; Tłuszcz: 39 g, w tym kwasy tłuszczowe nasycone: 37 g; Węglowodany: 54 g, w tym cukry: 53 g; Białko: 3,4 g; Sól: 0,53 g. 
Numer partii: 
Najlepiej spożyć przed końcem: MM.RRRR 

Przechowywać w suchym i chłodnym miejscu. Nie wystawiać na działanie ciepła i promieni słonecznych. 

Masa netto: 90 g 

Producent: Adikam Sp. z o.o. 
ul. Szlachecka 42; 
32-050 Borek Szlachecki, Polska.  
","Easter Bunny – Figurine made from compound chocolate a milk chocolate flavor 89,1 %, decorated compound chocolate a white chocolate flavor 9,8 % and compound chocolate a dark chocolate flavor 1,1 % 
Ingredients: sugar, fully hydrogenated vegetable fat (palm), whey powder (from milk), fat-reduced cocoa powder, whole milk powder, emulsifiers: E 322 (from sunflower), E 492, E 472c; flavouring 
May contain: peanuts, nuts, soy, cereals containing gluten. 
Nutritional value in 100 g of product: Energy value: 2392 kJ / 593 kcal; Fat: 39 g, of which saturated fatty acids: 37 g; Carbohydrates: 54 g, of which sugars: 53 g; Protein: 3,4 g; Salt: 0,53 g. 
Batch number:  
Best before end: MM/YYYY 

Store in a cool, dry place. Do not expose to heat or sunlight. 

Net weight:  90 g 

Manufacturer: Adikam Sp. z o.o. ul. Szlachecka 42; 32-050 Borek Szlachecki, Poland. 

 
",
133858,"Zając z pisanką - Lizak z czekolady mlecznej, dekorowany, 25 g",Zając z pisanką- Figurka z czekolady mleczej 96% dekorowana białą czekoladą 2% czekoladą gorzką 2% ,WIELKANOC,25,IFS Food 8.0,66417,2026-09-01 00:00:00,5902808133858,5902808134091,1806 90 39,10.82.22.0,14.5,5.8,0.5,14.5,5.8,0.5,16,20,15,LPR/EUR 800 x 1200 mm,0.025,0.027,0.525,0.567,168,205.44,21,32,10,320,6720,672,175,"Mleczno-kakaowy dla czekolady, słodki, charakterystyczny dla użytych surowców, bez obcych posmaków.","Mleczno-kakaowy dla czekolady, słodki, charakterystyczny dla użytych surowców, bez obcych zapachów.",Jasnobrązowy/brązowy/ciemnobrązowy/biały,Figurka w kształcie zajaca z pisanką. Dopuszczalne niewielkie pęcherzyki powietrza oraz szary nalot (wykwit tłuszczowy).,"Jednolity, dopuszczalne niewielkie pęcherzyki powietrza.",Przechowywać w suchym i chłodnym miejscu. Nie wystawiać na działanie ciepła i promieni słonecznych.,16 miesięcy od daty produkcji polew,Najlepiej spożyć przed końcem: MM.RRRR,Produkt nie zawiera GMO; nie podlega radiacji; nie zawiera nanomateriałów; jest kontrolowany w zakresie detekcji metali.,"Zając z pisanką- Figurka z czekolady mleczej 96% dekorowana białą czekoladą 2% czekoladą gorzką 2% 
Składniki: cukier, tłuszcz kakaowy, mleko w proszku pełne, miazga kakaowa, kakao w proszku o obniżonej zawartości tłuszczu, emulgator: E 322 (ze słonecznika), naturalny aromat z wanilii. Czekolada mleczna: zawartość masy kakaowej minimum 32 %; Czekolada gorzka minimum 72 %. 
Może zawierać: orzeszki arachidowe, orzechy, soję, zboża zawierające gluten. 

Wartość odżywcza w 100 g produktu: Wartość energetyczna: 2309 kJ / 553 kcal; Tłuszcz: 34 g, w tym kwasy tłuszczowe nasycone: 22 g; Węglowodany: 55 g, w tym cukry: 54 g; Białko: 6,2 g; Sól: 0,33 g. 

Numer partii: 
Najlepiej spożyć przed końcem: MM.RRRR 

Przechowywać w suchym i chłodnym miejscu. Nie wystawiać na działanie ciepła i promieni słonecznych. 

Masa netto: 25 g 
","Bunny with Easter egg - Figurine made of milk chocolate 96% decorated with white chocolate 2% and dark chocolate 2% 
Ingredients: sugar, cocoa butter, whole milk powder, cocoa mass, low-fat cocoa powder, emulsifier: E 322 (from sunflower seeds), natural vanilla flavouring. Milk chocolate: cocoa solids 32 % minimum; Dark chocolate: cocoa solids 72 % minimum. 
May contain: peanuts, nuts, soy, cereals containing gluten. 
Nutritional value in 100 g of product: Energy value: 2309 kJ / 553 kcal; Fat: 34 g, of which saturated fatty acids: 22 g; Carbohydrates: 55 g, of which sugars: 54 g; Protein: 6,2 g; Salt: 0,33 g. 
Batch number:  
Best before end: MM/YYYY 

Store in a cool, dry place. Do not expose to heat or sunlight. 

Net weight:  25 g 
",
