﻿ProductID,Nazwa produktu,waga (g),ZAFIRO WHITE - polewa mleczna,ZAFIRO MILK - polewa mleczno kakaowa,ZAFIRO CACAO - polewa kakaowa,MILLANO CZEKOLADA BIAŁA 29%,MILLANO CZEKOLADA 45%,MILLANO CZEKOLADA MLECZNA 30%,KREM MILK WIEPOL,Marshmallows,Drażetki z mlecznej czekolady,Czarna porzeczka liofilizowana,Czerwona porzeczka liofilizowana,Malina liofilizowana,Żurawina liofilizowana,Jabłko liofilizowane bez skórki,MASTER MARTINI czekolada mleczna 32%,MASTER MARTINI czekolada ciemna,MASTER MARTINI czekolada biała,MILANO CZEKOLADA 33%,MILANO CZEKOLADA BIAŁA z E,MILANO CZEKOLADA z E 50%,MILANO POLEWA KAKAOWO MLECZNA,MILANO CZEKOLADA MLECZNA 30% z E,RENOMA CZEKOLADA BIAŁA 30% TŁUSZCZU,MIRAN ROŻEK WAFLOWY MINI CONES,WIEPOL KREM O SMAKU TRUSKAWKOWYM,SIPRAL BIAŁY KREM Z ORZECHÓW LASKOWYCH DO SMAROWANIA,SIPRAL KREM DO SMAROWANIA O SMAKU PISTACJOWYM,"barwnik:
E120","barwnik:
E160c","barwnik:
E100","barwnik:
spirulina","barwnik:
E141(i)",ekstraka z buraka,Energia [kJ/100g],Energia [kcal/100g],Tłuszcz [g],Kwasy tłuszczowe nasycone [g],Węglowodany [g],Cukry [g],Białko [g],Sól [g],Energia [kJ/100g].1,Energia [kcal/100g].1,Tłuszcz [g].1,Kwasy tłuszczowe nasycone [g].1,Węglowodany [g].1,Cukry [g].1,Białko [g].1,Sól [g].1,cukier,tłuszcz kakaowy,kakao w proszku o obniżonej zawartości tłuszczu,mleko w proszku odtłuszczone,mleko w proszku pełne,tłuszcz mleczny,miazga kakaowa,emulgator E322 (ze słonecznika),emulgator E492,emulgator E472c,ekstrakt z wanilii,frakcjonowany i całkowicie utwardzony tłuszcz roślinny (olej palmowy),aromat,serwatka w proszku (z mleka),"tłuszcze i oleje roślinne nieutwardzone (shea, rzepakowy)",laktoza (z mleka),emulgator E322 (z soi),emulgator E322 (z rzepaku),syrop glukozowo-fruktozowy,bezwodny tłuszcz mleczny,Emulgator E476,Skrobia ryżowa,owoce liofilizowane: czarna porzeczka,owoce liofilizowane: czerwona porzeczka,owoce liofilizowane: malina,owoce liofilizowane: żurawina,owoce liofilizowane: jabłko,barwniki: E120,barwniki: E160c,barwniki: E100,barwniki: spirulina,barwniki: E141(i),barwniki: ekstrakta z buraka,Skrobia kukurydziana,oleje roślinne (słonecznikowy i palmowy),orzech laskowy,pistacja,mąka pszenna,tłuszcz kokosowy,Skład,Skład z pogrubieniem,Cukier,Tłuszcz kakaowy,Kakao w proszku o obniżonej zawartości tłuszczu,Mleko w proszku odtłuszczone,Mleko w proszku pełne,Tłuszcz mlekowy,Miazga kakaowa,Emulgator E322 (ze słonecznika),Emulgator E322 (z soi),Emulgator E322 (z rzepaku),Emulgator E492,Emulgator E472c,Ekstrakt z wanilii,Frakcjonowany i całkowicie utwardzony tłuszcz roślinny (olej palmowy),Aromat,Serwatka w proszku (z mleka),Emulgator E476.1,Owoc,Skrobia kukurydziana.1,Oleje roślinne (słonecznikowy i palmowy),Orzech laskowy,Pistacja,Gluten,Skorupiaki,Jaja,Ryby,Orzeszki ziemne,Soja,Mleko,Orzechy,Seler,Gorczyca,Sezam,Dwutlenek siarki i siarczyny,Łubin,Mięczaki
130031,"I Love You - Lizak z masy o smaku czekolady mlecznej, dekorowany, 25 g",25,6,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2394.06,593.46,39.632,37.144,53.93000000000001,53.084,3.446,0.5342,598.515,148.365,9.908,9.286,13.482500000000002,13.271,0.8615,0.13355,42.33,0,4.7,0,4.06,0,0,0.5,0.5,0.03,0,36.82,0.25,11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ZAFIRO MILK - polewa mleczno kakaowa, ZAFIRO WHITE - polewa mleczna","ZAFIRO MILK - polewa mleczno kakaowa, ZAFIRO WHITE - polewa mleczna","Francja, Dominikana, Holandia, Belgia, Niemcy, Włochy",,"Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Wybrzeże Kości Słoniowej, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua-Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trynidad, Uganda, Vanuatu, Wenezuela, Wietnam",,"Unia Europejska (Niemcy, Austria, Belgia, Dania, Hiszpania, Estonia, Finlandia, Francja, Węgry, Irlandia, Włochy, Łotwa, Litwa, Luksemburg, Holandia, Polska, Portugalia, Czechy, Szwecja)",,,"Rosja, Argentyna, Hiszpania, Ukraina, Bułgaria, Węgry, Turcja",,,Indonezja,"Europa, Rosja",,"Indonezja, Malezja","Hiszpania, Francja","Portugalia, Francja, Unia Europejska, Włochy, Hiszpania, Belgia",,,,,,,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera
130055,"Białe Serce - Lizak z masy o smaku czekolady mlecznej, dekorowany, 20 g",20,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2394.55,593.55,39.66,37.169999999999995,53.875,53.02,3.455,0.5335,478.91,118.71,7.9319999999999995,7.433999999999998,10.775,10.604000000000001,0.691,0.1067,42.275,0,4.75,0,4.05,0,0,0.5,0.5,0.025,0,36.85,0.25,11.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ZAFIRO MILK - polewa mleczno kakaowa, ZAFIRO WHITE - polewa mleczna","ZAFIRO MILK - polewa mleczno kakaowa, ZAFIRO WHITE - polewa mleczna","Francja, Dominikana, Holandia, Belgia, Niemcy, Włochy",,"Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Wybrzeże Kości Słoniowej, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua-Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trynidad, Uganda, Vanuatu, Wenezuela, Wietnam",,"Unia Europejska (Niemcy, Austria, Belgia, Dania, Hiszpania, Estonia, Finlandia, Francja, Węgry, Irlandia, Włochy, Łotwa, Litwa, Luksemburg, Holandia, Polska, Portugalia, Czechy, Szwecja)",,,"Rosja, Argentyna, Hiszpania, Ukraina, Bułgaria, Węgry, Turcja",,,Indonezja,"Europa, Rosja",,"Indonezja, Malezja","Hiszpania, Francja","Portugalia, Francja, Unia Europejska, Włochy, Hiszpania, Belgia",,,,,,,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera
130079,"Czerwone Serce - Lizak z masy o smaku czekolady mlecznej, dekorowany, 20 g",20,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2394.55,593.55,39.66,37.169999999999995,53.875,53.02,3.455,0.5335,478.91,118.71,7.9319999999999995,7.433999999999998,10.775,10.604000000000001,0.691,0.1067,42.275,0,4.75,0,4.05,0,0,0.5,0.5,0.025,0,36.85,0.25,11.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ZAFIRO MILK - polewa mleczno kakaowa, ZAFIRO WHITE - polewa mleczna","ZAFIRO MILK - polewa mleczno kakaowa, ZAFIRO WHITE - polewa mleczna","Francja, Dominikana, Holandia, Belgia, Niemcy, Włochy",,"Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Wybrzeże Kości Słoniowej, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua-Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trynidad, Uganda, Vanuatu, Wenezuela, Wietnam",,"Unia Europejska (Niemcy, Austria, Belgia, Dania, Hiszpania, Estonia, Finlandia, Francja, Węgry, Irlandia, Włochy, Łotwa, Litwa, Luksemburg, Holandia, Polska, Portugalia, Czechy, Szwecja)",,,"Rosja, Argentyna, Hiszpania, Ukraina, Bułgaria, Węgry, Turcja",,,Indonezja,"Europa, Rosja",,"Indonezja, Malezja","Hiszpania, Francja","Portugalia, Francja, Unia Europejska, Włochy, Hiszpania, Belgia",,,,,,,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera
131274,"Serce Walentynkowe - Figurka z masy o smaku czekolady mlecznej z dodatkiem owoców liofilizowanych czerwonej porzeczki, 40 g",40,0,97.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2370.275,587.05,38.834999999999994,36.37,53.66,52.4575,3.6175,0.51725,948.11,234.82,15.533999999999997,14.548,21.463999999999995,20.983,1.447,0.20689999999999997,40.95,0,4.875,0,3.9,0,0,0.4875,0.4875,0,0,36.075,0.24375,10.725,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ZAFIRO MILK - polewa mleczno kakaowa, Czerwona porzeczka liofilizowana","ZAFIRO MILK - polewa mleczno kakaowa, Czerwona porzeczka liofilizowana","Francja, Dominikana, Holandia, Belgia, Niemcy, Włochy",,"Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Wybrzeże Kości Słoniowej, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua-Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trynidad, Uganda, Vanuatu, Wenezuela, Wietnam",,"Unia Europejska (Niemcy, Austria, Belgia, Dania, Hiszpania, Estonia, Finlandia, Francja, Węgry, Irlandia, Włochy, Łotwa, Litwa, Luksemburg, Holandia, Polska, Portugalia, Czechy, Szwecja)",,,"Ukraina, Argentyna, Bułgaria, Węgry, Turcja",,,Indonezja,,,"Indonezja, Malezja","Hiszpania, Francja","Włochy, Hiszpania, Francja, Belgia, Portugalia",,Polska,,,,,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera
102932,"Serce - Lizak z masy o smaku czekolady mlecznej, 20 g",20,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2397,594,39.8,37.3,53.6,52.7,3.5,0.53,479.4,118.8,7.96,7.46,10.72,10.54,0.7,0.10600000000000001,42,0,5,0,4,0,0,0.5,0.5,0,0,37,0.25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAFIRO MILK - polewa mleczno kakaowa,ZAFIRO MILK - polewa mleczno kakaowa,"Francja, Dominikana, Holandia, Belgia, Niemcy, Włochy",,"Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Wybrzeże Kości Słoniowej, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua-Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trynidad, Uganda, Vanuatu, Wenezuela, Wietnam",,"Unia Europejska (Niemcy, Austria, Belgia, Dania, Hiszpania, Estonia, Finlandia, Francja, Węgry, Irlandia, Włochy, Łotwa, Litwa, Luksemburg, Holandia, Polska, Portugalia, Czechy, Szwecja)",,,"Ukraina, Argentyna, Bułgaria, Węgry, Turcja",,,Indonezja,,,"Indonezja, Malezja","Hiszpania, Francja","Włochy, Hiszpania, Francja, Belgia, Portugalia",,,,,,,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera
103595,"Zając Wielkanocny - Figurka z masy o smaku czekolady mlecznej, 90 g",90,9.78,89.11,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2391.6271,592.7524,39.479279999999996,37.000189999999996,54.12374,53.287650000000006,3.42043,0.5310730000000001,2152.46439,533.47716,35.531352,33.300171,48.711366,47.95888500000001,3.078387,0.4779657000000001,42.610699999999994,0,4.6425,0,4.0534,0,0,0.5054500000000001,0.5054500000000001,0.0489,0,36.6589,0.24997499999999997,11.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ZAFIRO MILK - polewa mleczno kakaowa, ZAFIRO WHITE - polewa mleczna, ZAFIRO CACAO - polewa kakaowa","ZAFIRO MILK - polewa mleczno kakaowa, ZAFIRO WHITE - polewa mleczna, ZAFIRO CACAO - polewa kakaowa","Francja, Dominikana, Holandia, Belgia, Niemcy, Włochy",,"Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Wybrzeże Kości Słoniowej, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua-Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trynidad, Uganda, Vanuatu, Wenezuela, Wietnam",,"Unia Europejska (Niemcy, Austria, Belgia, Dania, Hiszpania, Estonia, Finlandia, Francja, Węgry, Irlandia, Włochy, Łotwa, Litwa, Luksemburg, Holandia, Polska, Portugalia, Czechy, Szwecja)",,,"Rosja, Argentyna, Hiszpania, Ukraina, Bułgaria, Węgry, Turcja",,,"Indonezja, Malezja","Europa, Rosja",,"Indonezja, Malezja, Ekwador, Kolumbia, Wybrzeże Kości Słoniowej, Papua-Nowa Gwinea, Wyspy Salomona","Hiszpania, Francja","Portugalia, Francja, Unia Europejska, Włochy, Hiszpania, Belgia",,,,,,,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera
133858,"Zając z pisanką - Lizak z czekolady mlecznej, dekorowany, 25 g",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2308.62,553.22,34.16,22.1,54.56,54.46,6.238,0.3258,577.155,138.305,8.54,5.525,13.64,13.615,1.5595,0.08145,46.6,24.74,0.08,0,20.12,0,7.96,0.4,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MASTER MARTINI czekolada mleczna 32%, MASTER MARTINI czekolada biała, MASTER MARTINI czekolada ciemna","MASTER MARTINI czekolada mleczna 32%, MASTER MARTINI czekolada biała, MASTER MARTINI czekolada ciemna","Mauritius, Włochy, Serbia, Niemcy, Chorwacja, Austria, Kolumbia, Kambodża, Suazi, Brazylia, Zambia, Francja, Belgia, Crostia, Laos, Zimbabwe, UE (Niemcy, Francja)","Afryka Zachodnia, Indonezja, Afryka Zachodnia (Wybrzeże Kości Słoniowej, Nigeria, Kamerun, Ghana), Tanzania, Togo, Sierra Leone, Gwinea, Liberia, Wyspy Świętego Tomasza, Kongo, Uganda, Ekwador, Peru, Kolumbia, Malezja, Ameryka Południowa, Ameryka, Azja, Region Oceanii","Afryka Zachodnia, Indonezja, Malezja, Ameryka Południowa",,"Niemcy, Polska, Belgia, Francja, Wielka Brytania, Irlandia, Holandia, Austria, Litwa, Czechy, Portugalia, Hiszpania, Włochy",,"Afryka Zachodnia, Indonezja, Malezja, Ameryka Południowa","Ukraina, Włochy, Niemcy, Wielka Brytania, Holandia, Hiszpania, Argentyna, Austria, Bułgaria, Węgry, Turcja, Francja, Romania, Chorwacja, Mołdawia, Słowacja, Europa, Ameryka Południowa",,,,,,,"Szwajcaria, Madagaskar",,,,,,,,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera
131618,"Lizak Wielkanocny - Lizak z masy o smaku czekolady mlecznej, 15 g",15,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2397,594,39.8,37.3,53.6,52.7,3.5,0.53,359.55,89.1,5.97,5.595,8.04,7.905,0.525,0.0795,42,0,5,0,4,0,0,0.5,0.5,0,0,37,0.25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAFIRO MILK - polewa mleczno kakaowa,ZAFIRO MILK - polewa mleczno kakaowa,"Francja, Dominikana, Holandia, Belgia, Niemcy, Włochy",,"Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Wybrzeże Kości Słoniowej, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua-Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trynidad, Uganda, Vanuatu, Wenezuela, Wietnam",,"Unia Europejska (Niemcy, Austria, Belgia, Dania, Hiszpania, Estonia, Finlandia, Francja, Węgry, Irlandia, Włochy, Łotwa, Litwa, Luksemburg, Holandia, Polska, Portugalia, Czechy, Szwecja)",,,"Ukraina, Argentyna, Bułgaria, Węgry, Turcja",,,Indonezja,,,"Indonezja, Malezja","Hiszpania, Francja","Włochy, Hiszpania, Francja, Belgia, Portugalia",,,,,,,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera
100402,"Zając - Figurka z masy o smaku czekolady mlecznej, ręcznie pakowana, 80 g",80,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2397,594,39.8,37.3,53.6,52.7,3.5,0.53,1917.6,475.2,31.84,29.84,42.88,42.16,2.8,0.42400000000000004,42,0,5,0,4,0,0,0.5,0.5,0,0,37,0.25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAFIRO MILK - polewa mleczno kakaowa,ZAFIRO MILK - polewa mleczno kakaowa,"Francja, Dominikana, Holandia, Belgia, Niemcy, Włochy",,"Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Wybrzeże Kości Słoniowej, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua-Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trynidad, Uganda, Vanuatu, Wenezuela, Wietnam",,"Unia Europejska (Niemcy, Austria, Belgia, Dania, Hiszpania, Estonia, Finlandia, Francja, Węgry, Irlandia, Włochy, Łotwa, Litwa, Luksemburg, Holandia, Polska, Portugalia, Czechy, Szwecja)",,,"Ukraina, Argentyna, Bułgaria, Węgry, Turcja",,,Indonezja,,,"Indonezja, Malezja","Hiszpania, Francja","Włochy, Hiszpania, Francja, Belgia, Portugalia",,,,,,,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera
138747,"Czerwone Serce - Lizak z czekolady mlecznej, dekorowany, 20 g",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2312.65,554.15,34.15,22.1,55,55,6.175,0.32550000000000007,462.53,110.83,6.83,4.42,11,11,1.235,0.06510000000000002,46.975,25.3,0,0,20.575,0,6.65,0.4,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"MASTER MARTINI czekolada mleczna 32%, MASTER MARTINI czekolada biała","MASTER MARTINI czekolada mleczna 32%, MASTER MARTINI czekolada biała","Mauritius, Włochy, Serbia, Niemcy, Chorwacja, Austria, Kolumbia, Kambodża, Suazi, Brazylia, Zambia, Francja, Belgia, UE (Niemcy, Francja)","Afryka Zachodnia, Indonezja, Afryka Zachodnia (Wybrzeże Kości Słoniowej, Nigeria, Kamerun, Ghana), Tanzania, Togo, Sierra Leone, Gwinea, Liberia, Wyspy Świętego Tomasza, Kongo, Uganda, Ekwador, Peru, Kolumbia, Malezja, Ameryka Południowa, Ameryka, Azja, Region Oceanii",,,"Niemcy, Polska, Belgia, Francja, Wielka Brytania, Irlandia, Holandia, Austria, Litwa, Czechy, Portugalia, Hiszpania, Włochy",,"Afryka Zachodnia, Indonezja, Malezja, Ameryka Południowa","Ukraina, Włochy, Niemcy, Wielka Brytania, Holandia, Hiszpania, Argentyna, Austria, Bułgaria, Węgry, Turcja, Francja, Romania, Chorwacja, Mołdawia, Słowacja, Europa, Ameryka Południowa",,,,,,,"Szwajcaria, Madagaskar",,,,,,,,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera
131106,"I Love You - Lizak z masy o smaku czekolady mlecznej, dekorowany, 20 g",20,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2394.55,593.55,39.66,37.169999999999995,53.875,53.02,3.455,0.5335,478.91,118.71,7.9319999999999995,7.433999999999998,10.775,10.604000000000001,0.691,0.1067,42.275,0,4.75,0,4.05,0,0,0.5,0.5,0.025,0,36.85,0.25,11.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ZAFIRO MILK - polewa mleczno kakaowa, ZAFIRO WHITE - polewa mleczna","ZAFIRO MILK - polewa mleczno kakaowa, ZAFIRO WHITE - polewa mleczna","Francja, Dominikana, Holandia, Belgia, Niemcy, Włochy",,"Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Wybrzeże Kości Słoniowej, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua-Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trynidad, Uganda, Vanuatu, Wenezuela, Wietnam",,"Unia Europejska (Niemcy, Austria, Belgia, Dania, Hiszpania, Estonia, Finlandia, Francja, Węgry, Irlandia, Włochy, Łotwa, Litwa, Luksemburg, Holandia, Polska, Portugalia, Czechy, Szwecja)",,,"Rosja, Argentyna, Hiszpania, Ukraina, Bułgaria, Węgry, Turcja",,,Indonezja,"Europa, Rosja",,"Indonezja, Malezja","Hiszpania, Francja","Portugalia, Francja, Unia Europejska, Włochy, Hiszpania, Belgia",,,,,,,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera,Zawiera
